index,id,name
0,10kswap-starknet-alpha,10KSwap
1,1bch,1BCH
2,3xcalibur,3xcalibur
3,9inch,9inch
4,aave,Aave
5,abcc,ABCC
6,acala_swap,Acala Swap
7,acdx,ACDX
8,ace,Ace
9,acsi_finance,Acsi Finance
10,aerodrome-base,Aerodrome (Base)
11,aevo,Aevo
12,agni-finance,Agni Finance
13,agora_swap,Agora Swap
14,alexgo,ALEX
15,algebra_finance,Algebra finance
16,alien-base,Alien Base
17,alienfi,AlienFi
18,allinxswap-opbnb,AllInXSwap (opBnb)
19,alpha_five,Alpha5
20,altcointrader,AltcoinTrader
21,alterdice,AlterDice
22,altmarkets,Altmarkets
23,amaterasu,Amaterasu Finance
24,animeswap,Animeswap
25,apertureswap,ApertureSwap
26,apeswap-arbitrum,Apeswap (Arbitrum)
27,apeswap_bsc,ApeSwap
28,apeswap_polygon,ApeSwap (Polygon)
29,apeswap_telos,Apeswap (Telos)
30,apex_pro,ApeX Pro
31,aprobit,Aprobit
32,aqx,AQX
33,aqx_derivatives,Flipster
34,arbidex,Arbidex
35,arbswap_arbitrum_one,Arbswap
36,archerswap,Archerswap
37,arthswap,ArthSwap
38,ashswap,Ashswap
39,astroport,Astroport (Classic)
40,astroport_injective,Astroport (Injective)
41,astroport_neutron,Astroport (Neutron)
42,astroport-sei,Astroport (Sei)
43,astroport_v2,Astroport V2
44,astrovault,Astrovault
45,auroraswap,AuroraSwap
46,autoshark_finance,AutoShark Finance
47,aux,AUX Exchange
48,ayin,AYIN
49,azbit,Azbit
50,b2bx,B2BX
51,babydogeswap,BabyDogeSwap
52,babyswap,BabySwap
53,baguette,Baguette
54,bakeryswap,Bakeryswap
55,bakeryswap-base,BakerySwap (Base)
56,bakkt,Bakkt
57,balanced_network,Balanced
58,balancer,Balancer V2
59,balancer_arbitrum,Balancer V2 (Arbitrum)
60,balancer-gnosis,Balancer V2 (Gnosis)
61,balancer_polygon,Balancer V2 (Polygon)
62,balancer_v1,Balancer V1
63,balancer-v2-avalanche,Balancer V2 (Avalanche)
64,balancer-v2-base,Balancer V2 (Base)
65,bancor,Bancor (V2)
66,bancor_v3,Bancor (V3)
67,baptswap,BAPTSwap
68,baryon_network,Baryon Network
69,basefex,BaseFEX
70,baseswap,BaseSwap
71,baso-finance,Baso Finance
72,bcex,BCEX
73,beamswap,Beamswap
74,beam-swap,Beam Swap
75,beaxy,Beaxy
76,beethovenx,Beethoven X
77,beethoven_x_optimism,Beethoven X (Optimism)
78,benswap_smart_bitcoin_cash,Benswap
79,bgogo,Bgogo
80,bibox,Bibox
81,bibox_futures,Bibox (Futures)
82,biconomy,Biconomy
83,bigone,BigONE
84,bigone_futures,BigONE Futures
85,bilaxy,Bilaxy
86,binance,Binance
87,binance_dex,Binance DEX
88,binance_dex_mini,Binance DEX (Mini)
89,binance_futures,Binance (Futures)
90,binance_us,Binance US
91,binaryswap,BinarySwap
92,bingx,BingX
93,bingx_futures,BingX (Futures)
94,bione,BiONE
95,birake,Birake
96,bisq,Bisq
97,biswap,Biswap
98,biswap-v3-1,Biswap V3
99,bit2c,Bit2c
100,bit2me,Bit2Me
101,bitazza,Bitazza
102,bitbank,Bitbank
103,bitbay,zondacrypto
104,bitbegin,Bitbegin
105,bitbns,BitBNS
106,bitbox,BITFRONT
107,bitcastle,bitcastle
108,bitci,Bitci TR
109,bitcoin_com,FMFW.io
110,bitcointry_exchange,Bitcointry Exchange
111,bit_com,BIT
112,bit_com_futures,BIT (Futures)
113,bitdelta,BitDelta
114,bitexbook,BITEXBOOK
115,bitexen,Bitexen
116,bitexlive,Bitexlive
117,bitfex,Bitfex
118,bitfinex,Bitfinex
119,bitfinex_futures,Bitfinex (Futures)
120,bitflyer,bitFlyer
121,bitflyer_futures,Bitflyer (Futures)
122,bitforex,Bitforex
123,bitforex_futures,Bitforex (Futures)
124,bitget,Bitget
125,bitget_futures,Bitget Futures
126,bithash,BitHash
127,bithumb,Bithumb
128,bithumb_futures,Bithumb (Futures)
129,bithumb_global,BitGlobal
130,bitinka,Bitinka.com
131,bitkonan,BitKonan
132,bitkub,Bitkub
133,bitlo,Bitlo
134,bitmake,BitMake
135,bitmake_futures,BitMake Futures
136,bitmart,BitMart
137,bitmart_futures,Bitmart Futures
138,bitmax,AscendEX (BitMax)
139,bitmax_futures,AscendEX  (BitMax) (Futures)
140,bitmex,BitMEX (Derivative)
141,bitmex_spot,BitMEX
142,bitonbay,BitOnBay
143,bitopro,BitoPro
144,bitpanda,One Trading
145,bitrue,Bitrue
146,bitrue_futures,Bitrue (Futures)
147,bitso,Bitso
148,bitstamp,Bitstamp
149,bitsten,Bitsten
150,bitstorage,BitStorage
151,bittime,Bittime
152,bittrex,Bittrex Global
153,bitubu,Bitubu Exchange
154,bitunix,Bitunix
155,bitunix_futures,Bitunix Futures
156,bitvavo,Bitvavo
157,bitvenus,BitVenus Futures
158,bitvenus_spot,BitVenus
159,bitz_futures,BitZ (Futures)
160,bkex,BKEX
161,blazeswap,Blazeswap (Songbird)
162,blazeswap-flare,BlazeSwap (Flare) 
163,blockchain_com,Blockchain.com
164,blofin,Blofin
165,bluemove,BlueMove
166,blueshift,Blueshift
167,bobswap_polygon,BobSwap (Polygon)
168,bossswap,BossSwap
169,btc_alpha,BTC-Alpha
170,btcbox,BTCBOX
171,btcc,BTCC
172,btcc_futures,BTCC Futures
173,btcmarkets,BTCMarkets
174,btcmex,BTCMEX
175,btcsquare,BTCSquare
176,btc_trade_ua,BTC Trade UA
177,btcturk,BtcTurk | Kripto
178,btse,BTSE
179,btse_futures,BTSE (Futures)
180,bullish_com,Bullish
181,buyucoin,BuyUcoin
182,bw,BW.com
183,bybit,Bybit (Futures)
184,bybit_spot,Bybit
185,bydfi,BYDFi
186,byte-exchange,Byte Exchange
187,bytex,Bytex
188,camelot,Camelot
189,camelot-v3,Camelot V3
190,canto_dex,Canto Dex
191,cantoswap,Cantoswap
192,capricorn,Capricorn
193,carbon,Carbon
194,catex,Catex
195,cetus,Cetus
196,cex,CEX.IO
197,chainex,ChainEX
198,changelly,Changelly PRO
199,cherryswap,CherrySwap
200,chiliz,ChilizX
201,chronos,Chronos
202,citadelswap,CitadelSwap
203,citex,CITEX
204,claimswap,Claimswap
205,clipper_ethereum,Clipper (Ethereum)
206,clipper_optimism,Clipper (Optimism)
207,clipper_polygon,Clipper (Polygon)
208,cme_futures,CME Group
209,coinbase_international_derivatives,Coinbase International Exchange (Derivatives)
210,coincatch,CoinCatch
211,coincatch_derivatives,CoinCatch Derivatives
212,coincheck,Coincheck
213,coindcx,CoinDCX
214,coindeal,Coindeal
215,coin_egg,CoinEgg
216,coinex,CoinEx
217,coinex_futures,CoinEx (Futures)
218,coinfalcon,Coinfalcon
219,coinfield,Coinfield
220,coinflex,CoinFLEX
221,coinflex_futures,CoinFLEX (Futures)
222,coingi,Coingi
223,coinjar,CoinJar Exchange
224,coinlist,Coinlist
225,coinmargin,CoinMargin
226,coin_metro,Coinmetro
227,coinone,Coinone
228,coinsbit,Coinsbit
229,coinspro,Coins.ph
230,coinstore,Coinstore
231,cointiger,CoinTiger
232,cointiger_futures,CoinTiger (Futures)
233,cointr,CoinTR Pro
234,cointr_derivatives,CoinTR Pro (Derivatives)
235,coinw,CoinW
236,coinzix,Coinzix
237,coinzoom,Coinzoom
238,comethswap,ComethSwap
239,concave,Concave
240,c_patex,C-Patex
241,crema_finance,Crema Finance
242,crescent,Crescent
243,crodex,Crodex
244,cronaswap,Cronaswap
245,cronus_finance,Cronus Finance
246,croswap,CroSwap
247,crowdswap-polygon,CrowdSwap (Polygon)
248,cryptal,Cryptal
249,crypto_com,Crypto.com Exchange
250,crypto_com_futures,Crypto.com Exchange (Futures)
251,cryptology,Cryptology
252,cswap,cSwap
253,c_trade,C-Trade
254,cubiswap,CUBISwap
255,currency,Currency.com
256,curve_arbitrum,Curve (Arbitrum)
257,curve_avalanche,Curve (Avalanche)
258,curve_ethereum,Curve (Ethereum)
259,curve_fantom,Curve (Fantom)
260,curve_moonbeam,Curve (Moonbeam)
261,curve_optimism,Curve (Optimism)
262,curve_polygon,Curve (Polygon)
263,curve_xdai,Curve (Xdai)
264,dackieswap,DackieSwap V3
265,dackieswap-v2,DackieSwap V2
266,dao_swap,DAO Swap
267,darkknight,Dark KnightSwap
268,dcoin,Dcoin
269,dedust,DeDust
